Assembly Only	Total	Error %	QV
59	92726	0.0000	46.9
0	36629	0.0000	inf
58	17918	0.0001	39.8
60	32316	0.0001	42.2
30	28264	0.0000	44.7
101	27330	0.0001	39.2
87	100289	0.0000	45.5
0	35369	0.0000	inf
0	30632	0.0000	inf
0	35369	0.0000	inf
28	12294	0.0001	41.3
0	31004	0.0000	inf
30	44622	0.0000	46.6
0	25123	0.0000	inf
0	40068	0.0000	inf
27	16923	0.0001	42.9
0	66422	0.0000	inf
0	15644	0.0000	inf
0	23957	0.0000	inf
0	52416	0.0000	inf
60	19405	0.0001	40.0
29	27258	0.0000	44.6
0	26409	0.0000	inf
30	43209	0.0000	46.5
50	11630	0.0001	38.6
24	8527	0.0001	40.4
28	43002	0.0000	46.8
29	422349	0.0000	56.5
0	29281	0.0000	inf
30	137165	0.0000	51.5
116	26515	0.0001	38.5
26	28304	0.0000	45.3
115	695575	0.0000	52.7
90	88171	0.0000	44.8
57	17640	0.0001	39.8
107	49090	0.0001	41.5
29	33379	0.0000	45.5
29	46527	0.0000	47.0
0	103896	0.0000	inf
0	34221	0.0000	inf
26	16878	0.0000	43.0
90	68451	0.0000	43.7
57	28823	0.0001	41.9
60	41401	0.0000	43.3
0	40632	0.0000	inf
180	44315	0.0001	38.8
36	49657	0.0000	46.3
54	9007	0.0002	37.1
87	43719	0.0001	41.9
147	39217	0.0001	39.2
60	54021	0.0000	44.5
70	65240	0.0000	44.6
59	33970	0.0001	42.5
58	26090	0.0001	41.4
116	63841	0.0001	42.3
0	8540	0.0000	inf
52	12682	0.0001	38.8
0	66040	0.0000	inf
95	134769	0.0000	46.4
0	34246	0.0000	inf
0	28609	0.0000	inf
0	20000	0.0000	inf
31	19994	0.0001	43.0
55	30459	0.0001	42.3
110	25160	0.0001	38.5
29	62232	0.0000	48.2
0	36989	0.0000	inf
0	10447	0.0000	inf
0	21649	0.0000	inf
149	57824	0.0001	40.8
29	38849	0.0000	46.2
26	11215	0.0001	41.3
30	33350	0.0000	45.4
0	33014	0.0000	inf
58	29150	0.0001	41.9
59	30056	0.0001	42.0
88	242195	0.0000	49.3
0	46149	0.0000	inf
0	26498	0.0000	inf
27	9133	0.0001	40.2
28	16460	0.0001	42.6
25	4986	0.0002	37.9
0	31058	0.0000	inf
98	27079	0.0001	39.3
85	41294	0.0001	41.8
0	10960	0.0000	inf
74	11497	0.0002	36.8
0	71586	0.0000	inf
2	30582	0.0000	56.8
0	25888	0.0000	inf
30	36408	0.0000	45.8
59	85036	0.0000	46.5
0	23245	0.0000	inf
0	146502	0.0000	inf
0	38070	0.0000	inf
0	24859	0.0000	inf
0	12527	0.0000	inf
29	36622	0.0000	45.9
30	43315	0.0000	46.5
57	28406	0.0001	41.9
78	40792	0.0001	42.1
29	20179	0.0000	43.3
45	67972	0.0000	46.7
28	6572	0.0001	38.6
26	9508	0.0001	40.5
59	198367	0.0000	50.2
0	38902	0.0000	inf
29	25471	0.0000	44.3
0	37314	0.0000	inf
58	33331	0.0001	42.5
59	30310	0.0001	42.0
59	11293	0.0002	37.7
50	9857	0.0002	37.9
23	4047	0.0002	37.4
0	37800	0.0000	inf
0	27454	0.0000	inf
169	22605	0.0002	36.2
0	29557	0.0000	inf
29	33055	0.0000	45.5
87	54685	0.0001	42.9
0	28800	0.0000	inf
0	27727	0.0000	inf
119	63690	0.0001	42.2
26	35722	0.0000	46.3
29	40957	0.0000	46.4
0	117957	0.0000	inf
0	25960	0.0000	inf
125	28581	0.0001	38.5
49	37221	0.0000	43.7
30	33162	0.0000	45.3
28	33763	0.0000	45.7
0	24265	0.0000	inf
29	63467	0.0000	48.3
20	68702	0.0000	50.3
0	14799	0.0000	inf
237	56164	0.0001	38.7
130	13379	0.0003	35.0
0	15439	0.0000	inf
28	15004	0.0001	42.2
0	42455	0.0000	inf
29	34329	0.0000	45.6
60	33882	0.0001	42.4
120	76327	0.0001	42.9
30	55401	0.0000	47.6
54	15971	0.0001	39.6
58	31170	0.0001	42.2
60	62905	0.0000	45.1
190	83114	0.0001	41.3
0	37642	0.0000	inf
57	35679	0.0001	42.9
0	13041	0.0000	inf
28	31452	0.0000	45.4
58	52260	0.0000	44.5
48	47507	0.0000	44.9
53	23589	0.0001	41.4
0	27204	0.0000	inf
89	43704	0.0001	41.8
127	23136	0.0002	37.5
90	46571	0.0001	42.0
0	30613	0.0000	inf
0	30271	0.0000	inf
0	26738	0.0000	inf
84	18536	0.0001	38.3
26	7133	0.0001	39.3
26	6981	0.0001	39.2
