Assembly Only	Total	Error %	QV
78	16822	0.0001	38.2
0	33912	0.0000	inf
0	42541	0.0000	inf
30	20678	0.0000	43.3
57	25876	0.0001	41.5
61	44625	0.0000	43.6
0	41657	0.0000	inf
87	77729	0.0000	44.4
35	49969	0.0000	46.5
111	22776	0.0002	38.0
111	55872	0.0001	41.9
35	5684	0.0002	37.0
85	17319	0.0002	38.0
199	69781	0.0001	40.4
29	37342	0.0000	46.0
131	33389	0.0001	39.0
109	53816	0.0001	41.8
141	37254	0.0001	39.1
90	40270	0.0001	41.4
57	46263	0.0000	44.0
0	23319	0.0000	inf
104	44678	0.0001	41.2
30	27677	0.0000	44.6
84	20296	0.0001	38.7
127	42587	0.0001	40.2
90	36248	0.0001	41.0
56	17428	0.0001	39.8
106	54050	0.0001	42.0
87	37652	0.0001	41.3
0	26516	0.0000	inf
0	26233	0.0000	inf
60	42577	0.0000	43.4
143	64358	0.0001	41.4
0	31972	0.0000	inf
30	29337	0.0000	44.8
65	38014	0.0001	42.6
45	14206	0.0001	39.9
29	23617	0.0000	44.0
29	49074	0.0000	47.2
47	6099	0.0002	36.0
30	32598	0.0000	45.3
33	39052	0.0000	45.6
37	6165	0.0002	37.1
159	23597	0.0002	36.6
0	17272	0.0000	inf
0	21912	0.0000	inf
27	72220	0.0000	49.2
0	12833	0.0000	inf
30	64529	0.0000	48.2
0	33558	0.0000	inf
79	18101	0.0001	38.5
58	23723	0.0001	41.0
59	54776	0.0000	44.6
51	30662	0.0001	42.7
30	90407	0.0000	49.7
161	25313	0.0002	36.9
65	36619	0.0001	42.4
0	36239	0.0000	inf
0	20966	0.0000	inf
0	15258	0.0000	inf
97	46462	0.0001	41.7
29	48742	0.0000	47.2
30	32816	0.0000	45.3
137	31114	0.0001	38.5
30	41312	0.0000	46.3
29	26226	0.0000	44.5
29	13433	0.0001	41.6
54	18965	0.0001	40.4
110	52721	0.0001	41.7
98	27616	0.0001	39.4
59	25513	0.0001	41.3
128	26491	0.0002	38.1
144	19335	0.0002	36.2
105	23725	0.0001	38.4
0	35827	0.0000	inf
13	34684	0.0000	49.2
30	32983	0.0000	45.3
0	10064	0.0000	inf
86	36678	0.0001	41.2
109	26105	0.0001	38.7
0	56818	0.0000	inf
32	39237	0.0000	45.8
0	26576	0.0000	inf
0	23048	0.0000	inf
60	58073	0.0000	44.8
102	59657	0.0001	42.6
0	83313	0.0000	inf
88	24915	0.0001	39.4
36	54846	0.0000	46.7
115	54152	0.0001	41.6
27	33978	0.0000	45.9
97	27553	0.0001	39.4
0	22942	0.0000	inf
154	55773	0.0001	40.5
30	41938	0.0000	46.4
30	28719	0.0000	44.7
0	49748	0.0000	inf
30	16410	0.0001	42.3
0	22221	0.0000	inf
58	45512	0.0000	43.9
30	17188	0.0001	42.5
28	52634	0.0000	47.7
56	21165	0.0001	40.7
29	66862	0.0000	48.5
75	41584	0.0001	42.3
55	10526	0.0002	37.7
177	70547	0.0001	40.9
0	66750	0.0000	inf
0	30827	0.0000	inf
0	8980	0.0000	inf
84	10689	0.0003	35.9
0	29661	0.0000	inf
131	32541	0.0001	38.9
0	25889	0.0000	inf
59	49668	0.0000	44.2
341	56971	0.0002	37.1
18	31958	0.0000	47.4
105	31709	0.0001	39.7
10	30482	0.0000	49.8
30	25320	0.0000	44.2
0	33242	0.0000	inf
60	35069	0.0001	42.6
50	44071	0.0000	44.4
60	92457	0.0000	46.8
0	10985	0.0000	inf
79	25601	0.0001	40.0
145	41641	0.0001	39.5
0	36376	0.0000	inf
57	26315	0.0001	41.6
55	18744	0.0001	40.2
27	18596	0.0000	43.3
111	24555	0.0001	38.4
53	36584	0.0000	43.3
106	42261	0.0001	40.9
60	65627	0.0000	45.3
0	22698	0.0000	inf
65	29458	0.0001	41.5
55	26714	0.0001	41.8
29	34315	0.0000	45.6
92	48898	0.0001	42.2
0	42944	0.0000	inf
0	32170	0.0000	inf
0	35981	0.0000	inf
170	108766	0.0001	43.0
87	57170	0.0000	43.1
175	126238	0.0000	43.5
21	14619	0.0000	43.3
59	29662	0.0001	41.9
29	44543	0.0000	46.8
0	23139	0.0000	inf
54	48939	0.0000	44.5
0	42350	0.0000	inf
150	86880	0.0001	42.5
49	19056	0.0001	40.8
55	37476	0.0000	43.2
120	119857	0.0000	44.9
0	35453	0.0000	inf
30	22542	0.0000	43.7
90	64809	0.0000	43.5
28	86130	0.0000	49.8
51	13720	0.0001	39.2
78	12855	0.0002	37.1
58	38935	0.0000	43.2
0	20713	0.0000	inf
43	63939	0.0000	46.6
105	18641	0.0002	37.4
90	72159	0.0000	44.0
59	51176	0.0000	44.3
0	6840	0.0000	inf
0	22619	0.0000	inf
28	30939	0.0000	45.3
0	13520	0.0000	inf
30	46935	0.0000	46.9
201	65399	0.0001	40.0
0	21667	0.0000	inf
29	36281	0.0000	45.9
29	26318	0.0000	44.5
239	56228	0.0001	38.6
115	59064	0.0001	42.0
138	30239	0.0001	38.3
88	36491	0.0001	41.1
0	16521	0.0000	inf
0	19460	0.0000	inf
0	34410	0.0000	inf
58	40343	0.0000	43.3
0	32915	0.0000	inf
29	44311	0.0000	46.8
59	30598	0.0001	42.1
71	21233	0.0001	39.7
87	23306	0.0001	39.2
0	53898	0.0000	inf
48	15279	0.0001	39.9
228	45220	0.0002	37.9
106	16639	0.0002	36.9
84	31537	0.0001	40.7
0	44118	0.0000	inf
56	10990	0.0002	37.8
0	70832	0.0000	inf
78	28066	0.0001	40.5
29	52458	0.0000	47.5
27	7945	0.0001	39.6
78	6997	0.0004	34.4
63	11056	0.0002	37.3
0	39906	0.0000	inf
25	6818	0.0001	39.3
59	48741	0.0000	44.1
54	14311	0.0001	39.1
0	40442	0.0000	inf
59	68448	0.0000	45.6
81	21809	0.0001	39.2
0	74111	0.0000	inf
30	42685	0.0000	46.4
59	56088	0.0000	44.7
0	15797	0.0000	inf
60	55666	0.0000	44.6
14	39252	0.0000	49.4
0	23044	0.0000	inf
28	22784	0.0000	44.0
101	19386	0.0002	37.7
0	44530	0.0000	inf
29	34819	0.0000	45.7
55	37027	0.0000	43.2
0	58453	0.0000	inf
90	26222	0.0001	39.6
27	11428	0.0001	41.2
87	28596	0.0001	40.1
48	37435	0.0000	43.8
51	20432	0.0001	40.9
0	31075	0.0000	inf
60	11487	0.0002	37.7
26	21618	0.0000	44.1
0	23620	0.0000	inf
27	18339	0.0000	43.2
59	38460	0.0000	43.1
0	37535	0.0000	inf
54	12783	0.0001	38.6
23	23751	0.0000	45.1
0	140686	0.0000	inf
104	15626	0.0002	36.7
29	38328	0.0000	46.1
168	41330	0.0001	38.8
0	8867	0.0000	inf
87	20957	0.0001	38.7
29	47063	0.0000	47.0
57	46630	0.0000	44.0
82	23941	0.0001	39.6
30	66165	0.0000	48.3
0	114349	0.0000	inf
56	32643	0.0001	42.6
59	31256	0.0001	42.2
30	38258	0.0000	46.0
106	16554	0.0002	36.8
54	10792	0.0002	37.9
30	40704	0.0000	46.2
60	54606	0.0000	44.5
154	46682	0.0001	39.7
26	27879	0.0000	45.2
150	37950	0.0001	38.9
75	24388	0.0001	40.0
84	38010	0.0001	41.5
0	69402	0.0000	inf
0	23157	0.0000	inf
83	11258	0.0002	36.2
35	20143	0.0001	42.5
103	24545	0.0001	38.7
30	29778	0.0000	44.9
87	18452	0.0002	38.2
60	33597	0.0001	42.4
105	20771	0.0002	37.9
38	21816	0.0001	42.5
27	22505	0.0000	44.1
29	10186	0.0001	40.4
53	14173	0.0001	39.2
27	21010	0.0000	43.8
0	16491	0.0000	inf
0	18942	0.0000	inf
36	23319	0.0000	43.0
30	18860	0.0001	42.9
30	26692	0.0000	44.4
0	17191	0.0000	inf
104	69053	0.0000	43.1
84	45606	0.0001	42.3
7	18257	0.0000	49.1
70	27384	0.0001	40.8
0	36224	0.0000	inf
88	25757	0.0001	39.6
0	50445	0.0000	inf
83	17749	0.0002	38.2
28	33556	0.0000	45.7
56	49807	0.0000	44.4
0	50538	0.0000	inf
0	15898	0.0000	inf
35	17732	0.0001	42.0
58	29455	0.0001	42.0
86	43631	0.0001	42.0
59	49420	0.0000	44.1
116	58472	0.0001	41.9
83	13121	0.0002	36.9
0	33838	0.0000	inf
0	36417	0.0000	inf
58	9323	0.0002	37.0
136	20562	0.0002	36.7
75	47681	0.0001	42.9
31	5951	0.0002	37.7
55	6524	0.0003	35.6
0	26507	0.0000	inf
0	36386	0.0000	inf
58	96878	0.0000	47.1
164	66189	0.0001	41.0
30	39215	0.0000	46.1
0	22322	0.0000	inf
57	42904	0.0000	43.7
64	31531	0.0001	41.8
26	12902	0.0001	41.9
85	13600	0.0002	36.9
30	30887	0.0000	45.0
88	80130	0.0000	44.5
74	22456	0.0001	39.7
0	19443	0.0000	inf
76	9907	0.0002	36.0
0	25772	0.0000	inf
50	8121	0.0002	37.0
114	29335	0.0001	39.0
47	22597	0.0001	41.7
25	8694	0.0001	40.3
26	14121	0.0001	42.3
132	24170	0.0002	37.5
0	24310	0.0000	inf
0	19244	0.0000	inf
29	37193	0.0000	46.0
53	10500	0.0002	37.9
89	56920	0.0001	43.0
0	13543	0.0000	inf
72	19933	0.0001	39.3
28	47443	0.0000	47.2
29	33243	0.0000	45.5
59	32090	0.0001	42.3
30	21154	0.0000	43.4
0	38603	0.0000	inf
114	41072	0.0001	40.5
0	17359	0.0000	inf
0	59254	0.0000	inf
0	27720	0.0000	inf
106	31769	0.0001	39.7
53	20590	0.0001	40.8
117	55233	0.0001	41.6
0	20331	0.0000	inf
0	42032	0.0000	inf
0	22578	0.0000	inf
222	52700	0.0001	38.7
83	20576	0.0001	38.8
0	27764	0.0000	inf
143	37154	0.0001	39.1
97	48746	0.0001	41.9
59	32665	0.0001	42.3
27	30802	0.0000	45.5
0	34272	0.0000	inf
0	29967	0.0000	inf
0	30174	0.0000	inf
3	45726	0.0000	56.7
52	6999	0.0002	36.2
78	23628	0.0001	39.7
98	9593	0.0003	34.8
0	34264	0.0000	inf
52	17789	0.0001	40.2
55	19925	0.0001	40.5
43	41445	0.0000	44.8
29	41742	0.0000	46.5
85	21711	0.0001	39.0
0	25067	0.0000	inf
77	11223	0.0002	36.5
30	68993	0.0000	48.5
0	21111	0.0000	inf
58	36646	0.0001	42.9
65	35204	0.0001	42.2
126	53206	0.0001	41.2
30	40220	0.0000	46.2
60	28510	0.0001	41.7
59	24493	0.0001	41.1
0	29140	0.0000	inf
29	37071	0.0000	46.0
56	21191	0.0001	40.7
23	13697	0.0001	42.7
89	79295	0.0000	44.4
0	24693	0.0000	inf
27	30950	0.0000	45.5
0	20114	0.0000	inf
123	11839	0.0003	34.7
30	54736	0.0000	47.5
52	23650	0.0001	41.5
128	34493	0.0001	39.2
54	27764	0.0001	42.0
50	37022	0.0000	43.6
77	16656	0.0001	38.3
49	19604	0.0001	40.9
90	22907	0.0001	39.0
0	76356	0.0000	inf
30	81097	0.0000	49.2
0	30123	0.0000	inf
53	14585	0.0001	39.3
128	21936	0.0002	37.2
30	28008	0.0000	44.6
0	41699	0.0000	inf
30	20518	0.0000	43.3
28	47726	0.0000	47.2
29	16933	0.0001	42.6
0	17332	0.0000	inf
0	23856	0.0000	inf
30	27908	0.0000	44.6
77	26107	0.0001	40.2
91	13781	0.0002	36.7
76	28585	0.0001	40.7
98	41080	0.0001	41.1
58	64968	0.0000	45.4
59	37109	0.0001	42.9
113	36937	0.0001	40.1
27	23126	0.0000	44.2
26	11074	0.0001	41.2
59	22535	0.0001	40.7
30	31705	0.0000	45.2
0	21356	0.0000	inf
0	28744	0.0000	inf
0	34321	0.0000	inf
90	28204	0.0001	39.9
0	26560	0.0000	inf
58	39308	0.0000	43.2
105	31467	0.0001	39.7
27	15930	0.0001	42.6
0	30915	0.0000	inf
81	19793	0.0001	38.8
59	30352	0.0001	42.0
8	12350	0.0000	46.8
30	32616	0.0000	45.3
29	8855	0.0001	39.8
0	24146	0.0000	inf
0	45727	0.0000	inf
9	11121	0.0000	45.8
30	40248	0.0000	46.2
0	30625	0.0000	inf
30	53941	0.0000	47.5
30	48326	0.0000	47.0
60	17657	0.0001	39.6
28	24804	0.0000	44.4
0	41932	0.0000	inf
138	34518	0.0001	38.9
30	33605	0.0000	45.4
0	43747	0.0000	inf
30	26222	0.0000	44.3
82	6588	0.0004	33.9
53	14395	0.0001	39.2
79	22742	0.0001	39.5
0	29685	0.0000	inf
0	35169	0.0000	inf
30	32581	0.0000	45.3
73	12053	0.0002	37.1
0	36007	0.0000	inf
88	28344	0.0001	40.0
50	23010	0.0001	41.5
60	37480	0.0001	42.9
59	11650	0.0002	37.9
58	42484	0.0000	43.6
29	36432	0.0000	45.9
0	39426	0.0000	inf
68	10233	0.0002	36.7
57	35850	0.0001	42.9
0	33582	0.0000	inf
22	39911	0.0000	47.5
72	74264	0.0000	45.0
30	23799	0.0000	43.9
30	24238	0.0000	44.0
27	25521	0.0000	44.7
0	14217	0.0000	inf
9	41611	0.0000	51.6
59	44860	0.0000	43.7
163	43068	0.0001	39.1
26	14039	0.0001	42.2
119	32117	0.0001	39.2
0	19492	0.0000	inf
0	26247	0.0000	inf
0	40902	0.0000	inf
0	23857	0.0000	inf
29	39846	0.0000	46.3
27	9382	0.0001	40.3
40	26576	0.0000	43.1
69	51696	0.0000	43.7
63	30260	0.0001	41.7
0	21438	0.0000	inf
0	55490	0.0000	inf
87	67445	0.0000	43.8
0	26854	0.0000	inf
56	35428	0.0001	42.9
59	23146	0.0001	40.8
0	33678	0.0000	inf
30	29192	0.0000	44.8
52	36189	0.0000	43.3
0	35645	0.0000	inf
0	22528	0.0000	inf
29	29219	0.0000	44.9
25	16804	0.0000	43.2
45	16668	0.0001	40.6
102	25385	0.0001	38.9
30	44662	0.0000	46.6
146	46330	0.0001	39.9
30	66595	0.0000	48.4
0	24962	0.0000	inf
25	9953	0.0001	40.9
26	14639	0.0001	42.4
0	12547	0.0000	inf
35	12513	0.0001	40.4
0	36600	0.0000	inf
0	49281	0.0000	inf
171	30234	0.0002	37.4
68	9774	0.0002	36.5
30	30637	0.0000	45.0
108	17721	0.0002	37.1
215	6765	0.0010	29.8
59	43506	0.0000	43.6
81	41460	0.0001	42.0
43	27386	0.0001	43.0
27	36903	0.0000	46.3
109	30478	0.0001	39.4
60	36291	0.0001	42.7
29	33600	0.0000	45.6
8	18960	0.0000	48.7
50	5388	0.0003	35.2
30	40792	0.0000	46.2
77	25056	0.0001	40.0
0	56335	0.0000	inf
0	20526	0.0000	inf
0	16474	0.0000	inf
30	30207	0.0000	44.9
0	11213	0.0000	inf
0	69033	0.0000	inf
30	39211	0.0000	46.1
48	9213	0.0002	37.7
56	16522	0.0001	39.6
54	20349	0.0001	40.7
78	25400	0.0001	40.0
102	10434	0.0003	35.0
0	15321	0.0000	inf
0	33817	0.0000	inf
57	14282	0.0001	38.9
77	17965	0.0001	38.6
0	48661	0.0000	inf
0	23767	0.0000	inf
81	12116	0.0002	36.6
25	40026	0.0000	47.0
72	10449	0.0002	36.5
30	24781	0.0000	44.1
29	56269	0.0000	47.8
0	26937	0.0000	inf
78	9688	0.0003	35.8
0	29127	0.0000	inf
54	20293	0.0001	40.7
0	39874	0.0000	inf
0	24775	0.0000	inf
99	15375	0.0002	36.8
57	23438	0.0001	41.0
0	19998	0.0000	inf
13	6676	0.0001	42.0
81	14334	0.0002	37.4
30	27195	0.0000	44.5
30	34997	0.0000	45.6
0	27265	0.0000	inf
27	9518	0.0001	40.4
0	18693	0.0000	inf
86	24270	0.0001	39.4
60	23357	0.0001	40.8
53	35426	0.0000	43.2
3	22643	0.0000	53.7
59	24654	0.0001	41.1
111	99875	0.0000	44.5
59	50786	0.0000	44.3
60	58693	0.0000	44.8
157	12881	0.0004	34.0
0	48144	0.0000	inf
58	9947	0.0002	37.2
86	67475	0.0000	43.9
0	18907	0.0000	inf
50	22228	0.0001	41.4
58	11441	0.0002	37.9
29	37221	0.0000	46.0
30	28441	0.0000	44.7
56	19876	0.0001	40.4
57	25538	0.0001	41.4
25	18665	0.0000	43.6
0	33028	0.0000	inf
110	23772	0.0001	38.3
29	24886	0.0000	44.2
88	23263	0.0001	39.1
28	4854	0.0002	37.3
0	41075	0.0000	inf
0	33428	0.0000	inf
26	16786	0.0001	43.0
0	8607	0.0000	inf
0	21746	0.0000	inf
120	29414	0.0001	38.8
71	13997	0.0002	37.9
100	24771	0.0001	38.8
0	32088	0.0000	inf
59	25271	0.0001	41.2
76	21808	0.0001	39.5
35	18129	0.0001	42.1
0	25888	0.0000	inf
0	15016	0.0000	inf
50	14796	0.0001	39.6
60	70336	0.0000	45.6
25	19489	0.0000	43.8
126	24736	0.0002	37.8
30	52000	0.0000	47.3
60	35214	0.0001	42.6
76	29280	0.0001	40.8
50	26133	0.0001	42.1
108	25876	0.0001	38.7
59	38476	0.0000	43.1
55	15461	0.0001	39.4
29	24814	0.0000	44.2
0	23607	0.0000	inf
84	47967	0.0001	42.5
35	19136	0.0001	42.3
10	20471	0.0000	48.0
76	38549	0.0001	42.0
60	62396	0.0000	45.1
80	25009	0.0001	39.9
78	16462	0.0002	38.1
42	18511	0.0001	41.4
60	38529	0.0001	43.0
62	35764	0.0001	42.5
26	6998	0.0001	39.2
50	12137	0.0001	38.8
41	6369	0.0002	36.8
60	28528	0.0001	41.7
30	16221	0.0001	42.2
76	22807	0.0001	39.7
37	20697	0.0001	42.4
26	25369	0.0000	44.8
0	23728	0.0000	inf
27	9092	0.0001	40.2
30	62412	0.0000	48.1
68	54821	0.0000	44.0
116	62471	0.0001	42.2
8	15625	0.0000	47.8
29	32800	0.0000	45.4
0	9498	0.0000	inf
117	62227	0.0001	42.2
53	20785	0.0001	40.8
21	6636	0.0001	39.9
30	27711	0.0000	44.6
80	25786	0.0001	40.0
23	63068	0.0000	49.3
29	9020	0.0001	39.8
60	24435	0.0001	41.0
84	11975	0.0002	36.4
0	10769	0.0000	inf
95	26855	0.0001	39.4
30	19308	0.0001	43.0
29	11909	0.0001	41.0
59	31326	0.0001	42.2
55	26276	0.0001	41.7
0	11600	0.0000	inf
0	22099	0.0000	inf
42	11230	0.0001	39.2
7	9714	0.0000	46.3
29	16939	0.0001	42.6
30	36797	0.0000	45.8
75	9468	0.0003	35.9
30	24513	0.0000	44.0
53	25020	0.0001	41.6
28	22694	0.0000	44.0
0	12513	0.0000	inf
60	45008	0.0000	43.7
53	20412	0.0001	40.8
30	13926	0.0001	41.6
30	47846	0.0000	46.9
29	20300	0.0000	43.4
59	69691	0.0000	45.6
98	58634	0.0001	42.7
29	23391	0.0000	44.0
31	11849	0.0001	40.7
93	44429	0.0001	41.7
0	27754	0.0000	inf
59	43739	0.0000	43.6
106	10739	0.0003	34.9
30	34991	0.0000	45.6
30	28425	0.0000	44.7
0	20430	0.0000	inf
27	16912	0.0001	42.9
0	30943	0.0000	inf
26	13333	0.0001	42.0
78	31932	0.0001	41.0
29	24830	0.0000	44.2
0	39131	0.0000	inf
60	34544	0.0001	42.5
0	29017	0.0000	inf
82	19581	0.0001	38.7
0	22460	0.0000	inf
0	22606	0.0000	inf
128	33968	0.0001	39.1
53	19390	0.0001	40.5
60	41298	0.0000	43.3
27	16220	0.0001	42.7
28	34053	0.0000	45.8
0	32098	0.0000	inf
0	19783	0.0000	inf
0	40641	0.0000	inf
30	34743	0.0000	45.5
0	28041	0.0000	inf
65	17291	0.0001	39.2
28	9027	0.0001	40.0
25	6974	0.0001	39.4
37	31754	0.0000	44.2
6	9082	0.0000	46.7
57	11034	0.0002	37.8
138	10141	0.0004	33.5
0	38949	0.0000	inf
0	9375	0.0000	inf
27	20303	0.0000	43.7
0	25004	0.0000	inf
0	10333	0.0000	inf
56	30418	0.0001	42.3
30	26412	0.0000	44.4
83	45250	0.0001	42.3
30	25808	0.0000	44.3
26	13711	0.0001	42.1
47	22013	0.0001	41.6
30	37494	0.0000	45.9
57	18810	0.0001	40.1
7	37601	0.0000	52.2
0	36589	0.0000	inf
80	14464	0.0002	37.5
0	23641	0.0000	inf
58	13888	0.0001	38.7
0	37047	0.0000	inf
56	5733	0.0003	35.0
0	33125	0.0000	inf
43	26917	0.0001	42.9
0	28819	0.0000	inf
43	30884	0.0000	43.5
0	18159	0.0000	inf
57	27409	0.0001	41.7
0	27946	0.0000	inf
0	13813	0.0000	inf
0	10356	0.0000	inf
28	36635	0.0000	46.1
85	14723	0.0002	37.3
30	16582	0.0001	42.3
29	30406	0.0000	45.1
1	36678	0.0000	60.6
29	31988	0.0000	45.3
28	37903	0.0000	46.2
0	50408	0.0000	inf
0	38541	0.0000	inf
78	13384	0.0002	37.2
0	9648	0.0000	inf
60	40230	0.0000	43.2
0	53811	0.0000	inf
25	23255	0.0000	44.6
126	42540	0.0001	40.2
41	48821	0.0000	45.7
132	19643	0.0002	36.6
110	11680	0.0003	35.2
0	30756	0.0000	inf
0	40853	0.0000	inf
79	14285	0.0002	37.5
0	25022	0.0000	inf
30	38495	0.0000	46.0
0	19852	0.0000	inf
0	21884	0.0000	inf
78	26231	0.0001	40.2
30	32534	0.0000	45.3
78	39616	0.0001	42.0
30	21378	0.0000	43.4
0	34027	0.0000	inf
60	17278	0.0001	39.5
51	30330	0.0001	42.7
67	32454	0.0001	41.8
0	23345	0.0000	inf
30	38623	0.0000	46.0
0	27838	0.0000	inf
29	19586	0.0000	43.2
30	20406	0.0000	43.2
50	12025	0.0001	38.7
238	40549	0.0002	37.2
67	25964	0.0001	40.8
0	17708	0.0000	inf
58	27226	0.0001	41.6
4	40651	0.0000	55.0
32	24567	0.0000	43.8
0	16069	0.0000	inf
29	22943	0.0000	43.9
121	41610	0.0001	40.3
61	31180	0.0001	42.0
58	35153	0.0001	42.7
116	44370	0.0001	40.7
42	8777	0.0002	38.1
0	39463	0.0000	inf
0	21974	0.0000	inf
0	19979	0.0000	inf
81	17742	0.0001	38.3
0	17251	0.0000	inf
0	32464	0.0000	inf
30	33731	0.0000	45.4
76	35262	0.0001	41.6
0	45961	0.0000	inf
102	22667	0.0001	38.4
77	17269	0.0001	38.4
3	7606	0.0000	49.0
54	43452	0.0000	44.0
29	31215	0.0000	45.2
0	7513	0.0000	inf
28	23814	0.0000	44.2
0	29936	0.0000	inf
28	17240	0.0001	42.8
59	28354	0.0001	41.7
0	25249	0.0000	inf
88	31321	0.0001	40.4
55	10802	0.0002	37.8
28	10933	0.0001	40.8
54	19150	0.0001	40.4
90	31626	0.0001	40.4
50	12729	0.0001	39.0
49	11405	0.0001	38.6
58	32440	0.0001	42.4
30	16042	0.0001	42.2
30	28620	0.0000	44.7
0	36138	0.0000	inf
0	5835	0.0000	inf
0	54145	0.0000	inf
0	16357	0.0000	inf
30	21340	0.0000	43.4
90	40213	0.0001	41.4
0	32358	0.0000	inf
46	30571	0.0000	43.1
30	36190	0.0000	45.7
0	19260	0.0000	inf
30	35669	0.0000	45.7
30	22974	0.0000	43.8
0	29288	0.0000	inf
0	25351	0.0000	inf
100	18395	0.0002	37.5
53	12459	0.0001	38.6
52	22171	0.0001	41.2
0	5821	0.0000	inf
59	15832	0.0001	39.2
0	31660	0.0000	inf
131	13128	0.0003	34.9
59	24723	0.0001	41.1
53	8819	0.0002	37.1
0	44073	0.0000	inf
22	19435	0.0000	44.4
0	35305	0.0000	inf
151	44654	0.0001	39.6
57	28733	0.0001	41.9
0	24941	0.0000	inf
0	17884	0.0000	inf
0	17636	0.0000	inf
127	12481	0.0003	34.8
86	65341	0.0000	43.7
0	19604	0.0000	inf
79	17706	0.0001	38.4
30	30023	0.0000	44.9
30	45175	0.0000	46.7
0	40088	0.0000	inf
0	17677	0.0000	inf
27	18249	0.0000	43.2
51	20188	0.0001	40.9
0	19703	0.0000	inf
26	32317	0.0000	45.9
30	11741	0.0001	40.8
0	26639	0.0000	inf
89	32000	0.0001	40.5
0	19934	0.0000	inf
0	27903	0.0000	inf
28	19653	0.0000	43.4
28	15917	0.0001	42.5
42	53868	0.0000	46.0
86	28990	0.0001	40.2
83	31139	0.0001	40.7
145	40295	0.0001	39.3
30	28854	0.0000	44.7
98	26097	0.0001	39.2
30	45500	0.0000	46.7
27	28344	0.0000	45.1
60	48048	0.0000	43.9
108	15103	0.0002	36.4
51	44431	0.0000	44.3
30	20562	0.0000	43.3
127	38601	0.0001	39.7
50	8543	0.0002	37.2
0	33557	0.0000	inf
6	32748	0.0000	52.3
0	23860	0.0000	inf
55	21044	0.0001	40.7
62	49244	0.0000	43.9
54	18477	0.0001	40.2
28	38932	0.0000	46.3
0	26050	0.0000	inf
0	18122	0.0000	inf
30	30628	0.0000	45.0
50	23106	0.0001	41.6
30	17604	0.0001	42.6
30	42794	0.0000	46.5
0	20942	0.0000	inf
122	15215	0.0003	35.9
114	16315	0.0002	36.5
0	31777	0.0000	inf
86	22503	0.0001	39.1
56	12214	0.0001	38.3
0	23443	0.0000	inf
58	30389	0.0001	42.1
72	15159	0.0002	38.1
59	25040	0.0001	41.2
0	15516	0.0000	inf
87	23342	0.0001	39.2
26	11398	0.0001	41.3
140	28218	0.0002	37.9
29	23584	0.0000	44.0
57	8274	0.0002	36.5
42	23706	0.0001	42.4
30	35376	0.0000	45.6
19	28787	0.0000	46.7
0	21648	0.0000	inf
0	16307	0.0000	inf
0	39985	0.0000	inf
69	12544	0.0002	37.5
29	23834	0.0000	44.1
53	9322	0.0002	37.4
0	18336	0.0000	inf
0	25222	0.0000	inf
0	37971	0.0000	inf
59	47676	0.0000	44.0
36	6770	0.0002	37.6
51	5271	0.0003	35.0
0	18928	0.0000	inf
106	12967	0.0003	35.8
0	15458	0.0000	inf
30	49590	0.0000	47.1
23	18782	0.0000	44.0
28	24028	0.0000	44.2
53	28253	0.0001	42.2
29	24525	0.0000	44.2
62	22200	0.0001	40.4
0	19724	0.0000	inf
0	41085	0.0000	inf
58	41247	0.0000	43.4
56	12482	0.0001	38.4
198	27153	0.0002	36.3
83	20000	0.0001	38.7
59	46193	0.0000	43.8
0	36643	0.0000	inf
23	6464	0.0001	39.4
74	31610	0.0001	41.2
0	25722	0.0000	inf
0	14946	0.0000	inf
58	19235	0.0001	40.1
0	32757	0.0000	inf
0	17081	0.0000	inf
30	26841	0.0000	44.4
5	8520	0.0000	47.2
56	11329	0.0002	38.0
29	16823	0.0001	42.5
0	33557	0.0000	inf
30	10407	0.0001	40.3
0	37210	0.0000	inf
29	31268	0.0000	45.2
57	29003	0.0001	42.0
58	42627	0.0000	43.6
30	42942	0.0000	46.5
0	22954	0.0000	inf
0	19933	0.0000	inf
0	12844	0.0000	inf
59	42378	0.0000	43.5
44	21472	0.0001	41.8
30	45474	0.0000	46.7
57	16292	0.0001	39.5
0	6999	0.0000	inf
53	15668	0.0001	39.6
174	19710	0.0003	35.4
119	51510	0.0001	41.3
29	37997	0.0000	46.1
29	13029	0.0001	41.4
139	37282	0.0001	39.2
30	28627	0.0000	44.7
26	5290	0.0002	38.0
78	22001	0.0001	39.4
30	20090	0.0000	43.2
0	16345	0.0000	inf
25	13163	0.0001	42.1
45	17128	0.0001	40.7
0	20548	0.0000	inf
81	12708	0.0002	36.9
0	28135	0.0000	inf
59	28922	0.0001	41.8
0	32691	0.0000	inf
63	23108	0.0001	40.6
82	40192	0.0001	41.8
110	13797	0.0003	35.9
0	33566	0.0000	inf
30	23300	0.0000	43.8
29	9087	0.0001	39.9
29	26959	0.0000	44.6
53	7795	0.0002	36.6
0	9236	0.0000	inf
0	22032	0.0000	inf
30	22083	0.0000	43.6
87	34209	0.0001	40.9
0	27376	0.0000	inf
71	12275	0.0002	37.3
74	29348	0.0001	40.9
0	18152	0.0000	inf
0	23652	0.0000	inf
60	41869	0.0000	43.3
0	50944	0.0000	inf
60	24628	0.0001	41.0
85	15355	0.0002	37.5
0	40482	0.0000	inf
30	26679	0.0000	44.4
0	21923	0.0000	inf
